AAME,20070209,3.44,3.59,3.32,3.55,10800
AAON,20070209,5.5079,5.5218,5.4527,5.5061,14200
AAPL,20070209,3.0672,3.0786,2.9718,2.9739,30746000
AAWW,20070209,49.62,49.62,48.99,49.17,61700
ABCB,20070209,24.58,24.65,23.55,23.99,38400
ABMD,20070209,15,15.06,14.69,14.76,180500
ACAD,20070209,7.07,7.14,7.02,7.05,210400
ACBA,20070209,11.32,11.32,11.2,11.27,1700
ACET,20070209,8.75,8.75,8.17,8.29,206900
ACGL,20070209,7.3767,7.4378,7.2722,7.3367,168500
ACLS,20070209,28.72,29.2,27.76,28.16,1438500
ACMR,20070209,20.29,20.4,20.19,20.2,174500
ACOR,20070209,21.66,22.08,21.25,21.77,321900
ACTG,20070209,14.68,15.1,14.23,14.36,246700
ADBE,20070209,38.2,38.34,37.45,37.68,4412700
ADES,20070209,7.555,7.555,7.175,7.39,15300
ADI,20070209,33.44,34,33.09,33.1,4328100
ADP,20070209,42.9851,43.2308,42.713,42.8534,1561600
ADPT,20070209,3.58,3.67,3.57,3.64,1553200
ADRE,20070209,40.18,40.25,39.42,39.53,250800
ADSK,20070209,42.59,42.75,41.43,41.93,2782200
ADTN,20070209,22.76,22.9,22.49,22.6,1036700
AEHR,20070209,5.8,5.8,5.5,5.62,19500
AEIS,20070209,19.27,19.8,19.07,19.12,632300
AEZS,20070209,2400,2424,2370,2382,57500
AGEN,20070209,1.91,1.97,1.89,1.92,54100
AGIL,20070209,6.39,6.41,6.35,6.37,213300
AGYS,20070209,20.65,21.17,20.46,20.6,366400
AHPI,20070209,5.1,5.31,5.1,5.31,22100
AIMC,20070209,16.09,16.5,16.09,16.3,80100
AINV,20070209,69.81,70.41,68.13,68.97,1935800
AIRT,20070209,8.01,8.04,7.9,7.94,37500
AKAM,20070209,59.18,59.48,55.91,56.16,5810000
ALCO,20070209,50.02,50.44,49.39,49.62,9800
ALGN,20070209,16.56,16.62,16.01,16.22,499700
ALGT,20070209,33.55,33.55,32.8,33.26,166300
ALKS,20070209,16.87,17.23,16.52,16.84,2509600
ALLT,20070209,10.43,10.59,10.2,10.2,169100
ALNY,20070209,21.7,22.25,21.04,21.28,299800
ALOT,20070209,10.89,11.44,10.89,11.43,15600
ALTR,20070209,20.87,21.48,20.73,20.76,9410900
ALTU,20070209,18.07,18.34,18.06,18.29,262900
ALVR,20070209,77.9,79,76,77.3,689500
AMAT,20070209,18.39,18.48,17.9,17.97,32083200
AMD,20070209,15.22,15.26,14.8,14.9,30658000
AMED,20070209,33.2,33.36,32.69,32.95,246200
AMGN,20070209,69.95,70.09,69,69.05,10374700
AMKR,20070209,11.23,11.5,10.94,11.17,3816500
AMNB,20070209,22.56,22.56,22.44,22.44,1200
AMOT,20070209,6.4,6.68,6.16,6.21,17400
AMPH,20070209,17.25,17.25,17.25,17.25,0
AMPL,20070209,86.8,93.6,86.8,93.4,17500
AMRN,20070209,1.89,1.89,1.83,1.87,160300
AMSC,20070209,105,105.6,101.7,103.2,123000
AMSF,20070209,16.4,16.46,15.67,16,331100
AMSWA,20070209,7.55,7.57,7.36,7.41,35300
AMWD,20070209,44.68,45.3,44,44.44,69900
AMZN,20070209,39.19,39.31,38.66,38.72,5952700
ANAT,20070209,128.48,128.77,127.96,128.77,6700
ANDE,20070209,28.8333,29.2,27.0333,27.08,1251300
ANGN,20070209,16.78,17.16,16.29,16.5,43100
ANGO,20070209,26,26.24,25.76,25.91,187400
ANIK,20070209,13.14,13.18,12.56,12.86,54700
ANSS,20070209,25.525,25.65,25.285,25.445,246300
APAC,20070209,4.14,4.21,4.06,4.2,175600
APOG,20070209,20.03,20.11,19.45,19.66,134600
APTM,20070209,4.52,4.64,4.43,4.54,7600
ARAY,20070209,28.5,31.09,27.6,29.25,3288600
ARCC,20070209,20.06,20.14,19.54,19.84,415900
ARKR,20070209,31.36,31.49,31.2,31.48,2200
ARLP,20070209,17.71,17.75,17.58,17.61,139700
ARNA,20070209,142,143.8,139.5,141.1,883400
AROW,20070209,24.28,24.35,23.65,24.04,17000
ARQQ,20070209,10.68,10.68,10.54,10.6,3300
ARRY,20070209,12.91,13.09,12.84,12.88,324700
ARTE,20070209,10.01,10.07,9.8,9.91,109400
ARTL,20070209,9.1,9.2,9.1,9.2,800
ARTNA,20070209,19.63,19.98,19.5,19.82,8300
ARTW,20070209,7.15,7.15,6.99,7,15700
ARWR,20070209,4.09,4.1,3.98,4.06,21700
ASML,20070209,25.85,25.9,25.03,25.17,5191200
ASRV,20070209,4.65,4.65,4.56,4.64,10700
ASTE,20070209,36.39,36.69,36,36.47,101800
ASYS,20070209,7.9,7.9,7.75,7.75,56100
ATEC,20070209,50.4,50.4,49.44,49.56,68800
ATLO,20070209,21.05,21.48,21.05,21.48,900
ATNI,20070209,30.58,30.99,29.9,30.03,26000
ATRC,20070209,12.21,12.21,11.81,12,6200
ATRI,20070209,94.11,94.52,94.01,94.48,7600
ATRO,20070209,15.6417,16.4333,15.6417,16.3583,27900
ATRS,20070209,32.43,32.51,32.39,32.43,1763600
ATVI,20070209,8.28,8.295,8.145,8.225,8196500
AUBN,20070209,29,29,29,29,0
AUDC,20070209,10.31,10.33,10.06,10.18,438100
AVAV,20070209,22,22.09,21.63,21.82,180800
AVCT,20070209,35.4,35.45,35,35.31,704300
AVID,20070209,32.93,32.96,32.11,32.27,704400
AWRE,20070209,4.95,5.11,4.95,5.05,79200
AXTI,20070209,5,5.08,4.86,4.94,64100
AZPN,20070209,12.74,13.17,12.73,12.9,1036700
BANF,20070209,49.16,49.45,47.58,47.84,19300
BANFP,20070209,25.39,25.39,25.39,25.39,0
BANR,20070209,305.41,306.46,302.96,304.01,67400
BBBY,20070209,42.3,42.3,41.65,41.86,2167500
BBGI,20070209,9.25,9.25,9.16,9.17,6000
BBSI,20070209,23.14,23.43,22.32,23.03,120600
BCBP,20070209,16.65,16.65,16.5,16.5,5900
BCPC,20070209,9.7067,9.8067,9.4333,9.5733,24900
BCRX,20070209,10.89,11.18,10.87,10.99,374200
BDSI,20070209,2.78,2.81,2.75,2.79,10700
BECN,20070209,18.59,18.71,17.84,18.4,1998100
BELFA,20070209,29.38,29.5,29.22,29.5,19800
BELFB,20070209,34.52,34.52,33.5,33.68,48900
BFIN,20070209,17.67,17.81,17.6,17.61,55800
BGFV,20070209,24.55,24.64,24.12,24.17,79600
BIDU,20070209,12.007,12.132,11.633,11.749,1239900
BIIB,20070209,45.8437,46.2121,45.1989,45.595,2031800
BITS,20070209,9.92,9.99,9.57,9.82,69100
BJRI,20070209,20.17,20.32,20,20.13,61700
BKSC,20070209,16.39,16.41,16.39,16.41,300
BLDP,20070209,5.62,5.62,5.53,5.59,420600
BLKB,20070209,23.72,23.72,23.07,23.19,346000
BLUE,20070209,2.13,2.37,2.09,2.25,839900
BMRC,20070209,19.125,19.265,19.125,19.265,18500
BMRN,20070209,19.15,19.48,19.1,19.41,827500
BMTC,20070209,23.9,23.9,23.83,23.83,400
BNSO,20070209,5.31,5.31,5.19,5.25,9800
BOKF,20070209,52.74,52.87,52.35,52.45,18700
BOOM,20070209,31.7,31.99,30.9,31,187600
BOSC,20070209,10,10.08,10,10.08,1800
BPOP,20070209,184.3,186,182.5,183.4,955300
BPOPM,20070209,24.31,24.43,23.86,24.07,34800
BPOPN,20070209,25.4,25.4,25.4,25.4,1000
BRID,20070209,7.71,7.71,7.71,7.71,0
BRKL,20070209,13.41,13.47,13.15,13.19,269900
BRKR,20070209,7.97,8.17,7.78,7.91,539800
BRKS,20070209,15.61,15.76,15.21,15.25,728100
BRLI,20070209,11.88,11.89,11.71,11.76,58100
BSET,20070209,15.86,15.93,15.6,15.79,31000
BSML,20070209,1.5,1.54,1.32,1.35,60900
BSQR,20070209,3.4,3.55,3.29,3.37,30300
BSRR,20070209,29.39,29.76,29.25,29.47,34800
BUSE,20070209,23.74,23.76,23.37,23.48,15000
BYFC,20070209,10.52,10.52,10.52,10.52,0
CAAS,20070209,10,10.25,9.78,9.8,88200
CACC,20070209,28.16,28.5,27.01,27.27,40200
CAKE,20070209,26.76,27,26.45,26.52,1014200
CALM,20070209,6.53,6.795,6.5,6.635,327000
CAMP,20070209,8.97,9.15,8.65,8.88,212600
CAMT,20070209,4.43,4.48,4.39,4.47,45200
CASA,20070209,10.77,10.93,10.77,10.8,1500
CASH,20070209,10.2667,10.2667,10.2667,10.2667,200
CASS,20070209,37.4,37.4,35.75,36.09,2700
CASY,20070209,26.54,26.7,26,26.1,161400
CATY,20070209,35.34,35.34,34.98,35.07,185800
CBAN,20070209,18.87,18.95,18.85,18.85,1300
CBNK,20070209,15.68,15.68,15.64,15.64,4000
CBRL,20070209,47.72,47.85,47.19,47.3,346800
CBSH,20070209,50.19,50.37,50.1,50.21,85400
CCBG,20070209,34.75,34.75,33.52,33.94,17000
CCMP,20070209,31.52,31.71,30.78,31,133200
CCNE,20070209,14.59,14.59,14.59,14.59,100
CCOI,20070209,23.21,23.54,22.36,22.58,431700
CCRN,20070209,22.26,22.72,22.26,22.72,363800
CDNS,20070209,20.35,20.56,20.18,20.34,3679400
CDZI,20070209,23.84,23.84,23.63,23.63,1600
CECE,20070209,14.99,15.59,14.8,14.96,184600
CENT,20070209,13.74,13.74,13.08,13.23,3513500
CENTA,20070209,13.34,13.45,12.76,12.85,1263300
CENX,20070209,44.52,46.55,44.52,45.52,758300
CERN,20070209,12.4825,12.6175,12.4025,12.4625,5628500
CERS,20070209,5.79,5.8,5.56,5.65,274300
CEVA,20070209,7.25,7.25,7.11,7.24,19400
CFBK,20070209,205.15,205.7,200.75,204.875,23800
CFFI,20070209,42.4,42.4,42.4,42.4,300
CFFN,20070209,40,40.25,39.26,39.59,35000
CGEN,20070209,2.9,2.92,2.87,2.92,28800
CGNX,20070209,5.6,5.6875,5.53,5.5725,248200
CHCI,20070209,6.42,6.51,6.3,6.39,74800
CHCO,20070209,40.72,40.81,39.83,39.97,24300
CHDN,20070209,14.4567,14.4567,14.06,14.2533,60700
CHKP,20070209,24.79,24.93,24.37,24.38,1692100
CHNR,20070209,8.59,8.64,8.47,8.52,5100
CHRS,20070209,12.99,13.1,12.78,12.86,681200
CHRW,20070209,52.55,52.91,51.42,51.79,1194100
CHSCP,20070209,26.07,26.09,26.07,26.09,300
CHTR,20070209,3.49,3.5,3.27,3.35,43293500
CINF,20070209,43.96,44.2,43.56,43.85,875200
CIZN,20070209,21.2,21.5,21.1,21.5,1300
CLAY,20070209,19.93,20.07,18.52,18.61,56500
CLBK,20070209,49.4,49.4,49.12,49.35,5000
CLMT,20070209,45,45.05,44.62,44.89,34800
CLRO,20070209,5.6,5.94,5.6,5.91,69900
CLWT,20070209,12.1733,12.1733,11.5867,11.77,94500
CMCO,20070209,24.26,24.39,23.62,23.74,78800
CMCSA,20070209,13.8835,13.9135,13.4865,13.6135,16654800
CMLS,20070209,83.68,83.76,82.24,82.8,201700
CMTL,20070209,36,36,35,35.25,148100
CNBKA,20070209,26.27,26.46,26.27,26.46,600
CNET,20070209,9.03,9.09,8.7,8.84,2070500
CNOB,20070209,15.7,15.82,15.7,15.72,3600
CNSL,20070209,22.96,23,22.31,22.4,82100
CNTY,20070209,10.97,10.99,10.88,10.96,109200
COCO,20070209,13.66,13.72,13.5,13.61,1018200
COGT,20070209,10.65,10.67,10.39,10.54,494800
COHR,20070209,29.92,30.07,29.88,30.05,329000
COHU,20070209,19.23,19.24,18.93,19,157600
COKE,20070209,57.83,58.04,57.48,58.04,15500
COLB,20070209,34.71,34.96,34.44,34.68,32600
COLM,20070209,33.36,33.39,32.44,32.5,241300
COMS,20070209,4.02,4.03,3.95,3.96,7269600
CONN,20070209,27.95,28.27,27.25,27.41,229500
COOL,20070209,70.98,71.4,69.72,70.98,25200
COOP,20070209,18.69,18.69,18.6,18.61,900
CORT,20070209,1.06,1.07,0.95,1.03,127700
COST,20070209,56.78,56.88,55.85,55.98,2522700
COWN,20070209,20.55,21.12,20.45,20.62,115900
CPRT,20070209,7.4175,7.475,7.405,7.42,461100
CPRX,20070209,5.27,5.47,4.78,4.79,46500
CPSI,20070209,29.71,29.76,28.42,28.71,149900
CPSS,20070209,7.13,7.24,6.77,6.86,49000
CRAI,20070209,53.29,53.5,51.84,52.5,68300
CRESY,20070209,18.73,19.5,18.73,19.25,116200
CRIS,20070209,7.7,8,7.55,7.8,112700
CRMT,20070209,11.01,11.19,10.97,11,69200
CRNT,20070209,6.02,6.02,5.81,5.87,172800
CROX,20070209,28,28.25,26.875,27.075,1809500
CRTX,20070209,1.79,1.88,1.67,1.71,249200
CRUS,20070209,7.94,8.18,7.89,8.01,1752600
CRVL,20070209,19.075,19.675,18.305,18.54,340600
CSCO,20070209,28.06,28.15,27.48,27.71,50583000
CSGP,20070209,48.4,48.4,47.28,47.82,91200
CSGS,20070209,25.05,25.16,24.62,24.72,501900
CSIQ,20070209,11.5,11.88,10.75,10.9,273400
CSPI,20070209,9.15,9.15,8.85,8.96,1400
CSTL,20070209,3.36,3.58,3.36,3.5,5100
CSTR,20070209,28.67,30.5,28.67,30.11,644700
CSWC,20070209,33.515,33.515,32.885,32.985,40400
CSX,20070209,12.3633,12.39,12.21,12.3567,7599800
CTAS,20070209,42.08,42.09,41.57,41.74,904600
CTBI,20070209,37.63,38.06,37.12,37.29,80100
CTEC,20070209,17.51,17.58,17.05,17.57,97600
CTHR,20070209,7.45,7.53,7.43,7.45,40500
CTIB,20070209,4.89,4.98,4.74,4.94,19200
CTIC,20070209,328,328,310,316,595900
CTRN,20070209,46.1,47.09,45.6,45.88,164800
CTSH,20070209,23.4075,23.575,22.9625,23.0875,1450300
CTXS,20070209,25.414,25.414,24.8646,25.0398,2334200
CUBA,20070209,13.53,14.25,13.27,14.07,23500
CUTR,20070209,35.1,35.19,34.25,34.54,303300
CVBF,20070209,12.47,12.48,12.39,12.46,312400
CVCO,20070209,34.26,34.26,32.75,32.92,39400
CVCY,20070209,15.25,15.25,15.15,15.25,6400
CVGI,20070209,20.19,20.27,20.06,20.21,117300
CVGW,20070209,10.73,10.9,10.66,10.9,3700
CVLT,20070209,17.73,17.89,16.65,17.49,228700
CVLY,20070209,19.75,19.75,19.75,19.75,100
CWBC,20070209,15.65,15.65,15.65,15.65,700
CWCO,20070209,25.88,25.93,25.48,25.55,19900
CWST,20070209,12.44,12.5,11.64,11.71,63100
CYAN,20070209,2.15,2.21,2.1,2.21,3900
CYBE,20070209,13.42,13.48,13.21,13.24,13700
CYCC,20070209,13944,13944,13053.6,13641.6,9400
CYCCP,20070209,5.3,5.3,5.3,5.3,0
CYTK,20070209,48,48.06,47.58,48,82000
CYTO,20070209,2.45,2.52,2.42,2.48,53700
CZNC,20070209,22.47,22.47,22.28,22.3,7700
CZWI,20070209,9.5,9.55,9.5,9.54,29800
DAIO,20070209,3.64,3.7,3.43,3.7,20500
DAKT,20070209,37.44,37.5,36.4,36.6,538500
DCOM,20070209,13.22,13.4,12.99,13.15,75900
DCTH,20070209,975.36,995.84,975.36,983.04,69600
DDMX,20070209,24.35,24.36,23.65,23.72,13100
DENN,20070209,5.44,5.49,5.26,5.42,1333000
DGICA,20070209,18.34,18.45,18,18.1,15700
DGICB,20070209,17.49,17.5,17.48,17.48,2300
DGII,20070209,12.62,12.78,12.46,12.56,95300
DHIL,20070209,108.65,113.85,108.65,109.75,12100
DIOD,20070209,24.412,24.639,23.959,24.025,1000500
DISCA,20070209,16.13,16.25,15.89,16.05,1035700
DISCB,20070209,16,16.03,15.97,16,900
DISH,20070209,42.44,42.44,41.54,41.58,1750400
DJCO,20070209,41.25,41.25,41.25,41.25,0
DLTR,20070209,11.2267,11.2267,11.04,11.1034,1832200
DMLP,20070209,22.75,22.75,22.26,22.4,20400
DMRC,20070209,11.41,11.46,11.28,11.35,190000
DORM,20070209,5.065,5.065,5.065,5.065,0
DRIV,20070209,53.13,56.8,52.72,54.56,5433500
DRRX,20070209,4.4,4.49,4.32,4.42,339500
DSGX,20070209,4.3,4.43,4.22,4.23,28100
DSPG,20070209,21.2,21.35,20.99,21.07,106500
DSWL,20070209,12.05,12.05,11.9,11.9,19100
DVAX,20070209,60.7,60.8,58.7,58.7,76800
DWSN,20070209,42.7,42.7,40.7,41.49,305200
DXCM,20070209,8.8,8.86,8.65,8.78,368000
DXPE,20070209,32.77,33.59,32.54,32.72,68600
DXYN,20070209,13.74,13.95,13.73,13.76,4600
DYNT,20070209,5.75,5.8,5.7,5.75,6700
EBAY,20070209,14.1895,14.2274,13.9621,14.1095,17608200
EBIX,20070209,2.9989,2.9989,2.9422,2.9422,400
EBTC,20070209,15.19,15.65,15.19,15.65,7300
ECHO,20070209,18.63,18.65,18.62,18.65,1900
ECOL,20070209,19.87,20.04,19.29,19.55,199400
ECPG,20070209,11.28,11.28,10.67,10.8,72400
EDAP,20070209,7.96,8.19,7.96,8.05,15700
EDUC,20070209,3.835,3.92,3.835,3.92,1100
EEFT,20070209,28.95,28.95,28.02,28.63,300000
EFSC,20070209,30.35,30.35,29.66,30.09,16400
EGBN,20070209,16.83,16.83,16.62,16.73,3600
EGLE,20070209,191721.6,197265.6,191721.6,195753.6,374300
EHTH,20070209,21.73,21.84,21.08,21.22,46000
ELSE,20070209,5.52,5.83,5.52,5.73,5300
ELTK,20070209,4.37,4.44,4.28,4.4,17000
EMKR,20070209,16.36,16.64,15.92,16.04,910900
ENDP,20070209,30.91,30.96,30.5,30.55,453600
ENTG,20070209,10.92,10.92,10.59,10.69,931900
EPAY,20070209,13.18,13.45,12.94,13.02,189700
EPIX,20070209,133.8,133.8,131.4,133,58700
EQIX,20070209,81,81.8,78.55,80.08,669500
ERES,20070209,7.03,7.13,6.9,6.94,306100
ERIC,20070209,36.98,37.07,36.4,36.44,4422600
ERIE,20070209,55.48,55.53,54.92,55.42,61100
ESBK,20070209,29.56,29.75,29.22,29.38,1300
ESCA,20070209,9.25,9.25,9.16,9.2,2600
ESEA,20070209,72,72.8,70.64,71.84,57800
ESGR,20070209,107.83,107.83,107.83,107.83,0
ESLT,20070209,35.64,35.82,35.54,35.56,2500
EVOL,20070209,2,2.04,1.85,1.9,96700
EWBC,20070209,38.22,38.3,38.07,38.13,199200
EXAS,20070209,2.76,2.8,2.76,2.78,30700
EXEL,20070209,10.54,10.86,10.48,10.7,978300
EXLS,20070209,26.94,27,26.59,26.95,71600
EXPD,20070209,45.53,45.53,44.1,44.44,1760400
EXPE,20070209,22.06,22.19,21.35,21.64,1792300
EXPO,20070209,4.445,4.4625,4.35,4.37,61700
EXTR,20070209,4.38,4.48,4.32,4.36,3193200
EZPW,20070209,16.65,16.85,15.95,16.14,835800
FARM,20070209,20.94,21.49,20.94,21.46,29700
FARO,20070209,24.72,24.86,24.61,24.85,56800
FAST,20070209,9.2625,9.2725,9.0625,9.1025,1167400
FBIZ,20070209,21.26,21.26,21.26,21.26,0
FBMS,20070209,28.7,28.7,28.7,28.7,100
FBNC,20070209,24.5,24.77,24.09,24.29,43300
FCAP,20070209,18.24,18.24,18.24,18.24,0
FCBC,20070209,41.79,42.09,41.37,41.61,18000
FCCO,20070209,17.19,17.19,16.75,16.79,11300
FCCY,20070209,17.99,17.99,17.99,17.99,0
FCEL,20070209,1044,1058.4,1018.08,1025.28,650200
FCFS,20070209,23.54,23.73,23.35,23.66,312400
FCNCA,20070209,203.53,204.97,203.53,204.96,1300
FEIM,20070209,11.96,11.96,11.63,11.71,21600
FELE,20070209,24.92,25.09,24.415,24.435,136500
FFBC,20070209,16.4,16.56,16.24,16.29,83900
FFHL,20070209,11.55,11.78,11,11.01,319000
FFIC,20070209,17.17,17.3,16.95,17.07,47000
FFIN,20070209,7.0484,7.08,6.9734,7.0317,56500
FFIV,20070209,19.025,19.118,18.71,18.875,1346800
FISI,20070209,21.67,21.8,21.61,21.8,3000
FISV,20070209,13.425,13.4475,13.15,13.2625,1259000
FITB,20070209,40.48,40.59,40.22,40.46,3076800
FLEX,20070209,11.6,11.67,11.4,11.49,5220400
FLIC,20070209,29.8,29.8,29.8,29.8,100
FLWS,20070209,7.77,7.8,7.51,7.56,288900
FLXS,20070209,14.25,14.42,14.2,14.4,9200
FMBI,20070209,38.13,38.24,37.75,37.84,176600
FNLC,20070209,16.5,16.63,16.5,16.5,1500
FONR,20070209,0.29,0.29,0.27,0.29,536100
FORD,20070209,4.49,4.59,4.3,4.31,165700
FORM,20070209,44.48,44.5,42.3,42.95,1011200
FORR,20070209,26.93,27.39,26.43,26.5,60400
